Product,Year,generated_tons,recycled_tons,combusted_tons,landfilled_tons,recycling_rate,landfill_share
Products – Containers and Packaging – Glass Packaging – Total,1960,6190000.0,100000.0,0.0,6090000.0,0.01615508885298869,0.9838449111470113
Products – Containers and Packaging – Steel Packaging – Total,1960,4660000.0,30000.0,0.0,4630000.0,0.006437768240343348,0.9935622317596566
Products – Containers and Packaging—Aluminum Packaging – Total,1960,170000.0,0.0,0.0,170000.0,0.0,1.0
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg -- Subtotal,1960,6780000.0,220000.0,0.0,6560000.0,0.032448377581120944,0.967551622418879
Products – Containers and Packaging – Paper & Paperboard Pkg -- Total,1960,14110000.0,2740000.0,0.0,11370000.0,0.19418851878100638,0.8058114812189936
"Products – Containers and Packaging – Plastics Packaging – Bags, Sacks, and Wraps -- Subtotal",1960,0.0,0.0,0.0,0.0,,
Products – Containers and Packaging – Plastics Packaging -- Total,1960,120000.0,0.0,0.0,120000.0,0.0,1.0
Products - Containers and Packaging - Total,1960,27370000.0,2870000.0,0.0,24500000.0,0.10485933503836317,0.8951406649616368
Products - Wastes - Total,1960,54620000.0,5610000.0,0.0,49010000.0,0.10270963017209814,0.8972903698279019
Other Wastes – Total,1960,33500000.0,,0.0,33500000.0,,1.0
Total MSW Generated – Weight,1960,88120000.0,,,,,
Products – Containers and Packaging – Glass Packaging – Total,1970,11920000.0,150000.0,50000.0,11720000.0,0.012583892617449664,0.9832214765100671
Products – Containers and Packaging – Steel Packaging – Total,1970,5380000.0,80000.0,20000.0,5280000.0,0.01486988847583643,0.9814126394052045
Products – Containers and Packaging—Aluminum Packaging – Total,1970,570000.0,10000.0,0.0,560000.0,0.017543859649122806,0.9824561403508771
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg -- Subtotal,1970,8640000.0,350000.0,30000.0,8260000.0,0.04050925925925926,0.9560185185185185
Products – Containers and Packaging – Paper & Paperboard Pkg -- Total,1970,21400000.0,3110000.0,70000.0,18220000.0,0.1453271028037383,0.8514018691588785
"Products – Containers and Packaging – Plastics Packaging – Bags, Sacks, and Wraps -- Subtotal",1970,0.0,0.0,0.0,0.0,,
Products – Containers and Packaging – Plastics Packaging -- Total,1970,2090000.0,0.0,0.0,2090000.0,0.0,1.0
Products - Containers and Packaging - Total,1970,43560000.0,3350000.0,150000.0,40060000.0,0.07690541781450873,0.9196510560146923
Products - Wastes - Total,1970,83280000.0,8020000.0,300000.0,74960000.0,0.0963016330451489,0.9000960614793467
Other Wastes – Total,1970,37780000.0,,150000.0,37630000.0,,0.9960296453149815
Total MSW Generated – Weight,1970,121060000.0,,,,,
Products – Containers and Packaging – Glass Packaging – Total,1980,13970000.0,750000.0,270000.0,12950000.0,0.05368647100930565,0.9269863994273443
Products – Containers and Packaging – Steel Packaging – Total,1980,3610000.0,200000.0,60000.0,3350000.0,0.055401662049861494,0.9279778393351801
Products – Containers and Packaging—Aluminum Packaging – Total,1980,1270000.0,320000.0,20000.0,930000.0,0.25196850393700787,0.7322834645669292
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg -- Subtotal,1980,9270000.0,820000.0,170000.0,8280000.0,0.08845738942826321,0.8932038834951457
Products – Containers and Packaging – Paper & Paperboard Pkg -- Total,1980,26350000.0,7210000.0,380000.0,18760000.0,0.27362428842504743,0.711954459203036
"Products – Containers and Packaging – Plastics Packaging – Bags, Sacks, and Wraps -- Subtotal",1980,1230000.0,0.0,30000.0,1200000.0,0.0,0.975609756097561
Products – Containers and Packaging – Plastics Packaging -- Total,1980,3400000.0,10000.0,70000.0,3320000.0,0.0029411764705882353,0.9764705882352941
Products - Containers and Packaging - Total,1980,52670000.0,8490000.0,880000.0,43300000.0,0.16119232959939245,0.8220998670970192
Products - Wastes - Total,1980,108890000.0,14520000.0,1900000.0,92470000.0,0.13334557810634584,0.8492056203508127
Other Wastes – Total,1980,42750000.0,,860000.0,41890000.0,,0.9798830409356725
Total MSW Generated – Weight,1980,151640000.0,,,,,
Products – Containers and Packaging – Glass Packaging – Total,1990,11830000.0,2620000.0,1570000.0,7640000.0,0.22147083685545224,0.6458157227387996
Products – Containers and Packaging – Steel Packaging – Total,1990,2890000.0,690000.0,370000.0,1830000.0,0.23875432525951557,0.6332179930795848
Products – Containers and Packaging—Aluminum Packaging – Total,1990,1900000.0,1010000.0,150000.0,740000.0,0.531578947368421,0.3894736842105263
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg -- Subtotal,1990,8670000.0,540000.0,1380000.0,6750000.0,0.06228373702422145,0.7785467128027682
Products – Containers and Packaging – Paper & Paperboard Pkg -- Total,1990,32680000.0,12070000.0,3500000.0,17110000.0,0.3693390452876377,0.523561811505508
"Products – Containers and Packaging – Plastics Packaging – Bags, Sacks, and Wraps -- Subtotal",1990,2470000.0,60000.0,410000.0,2000000.0,0.024291497975708502,0.8097165991902834
Products – Containers and Packaging – Plastics Packaging -- Total,1990,6900000.0,260000.0,1130000.0,5510000.0,0.03768115942028986,0.7985507246376812
Products - Containers and Packaging - Total,1990,64530000.0,16780000.0,8110000.0,39640000.0,0.26003409267007593,0.6142879280954595
Products - Wastes - Total,1990,146510000.0,29040000.0,19970000.0,97500000.0,0.19821172616203672,0.6654835847382431
Other Wastes – Total,1990,61760000.0,,9790000.0,47770000.0,,0.7734779792746114
Total MSW Generated – Weight,1990,208270000.0,,,,,
Products – Containers and Packaging – Glass Packaging – Total,2000,11040000.0,2880000.0,1590000.0,6570000.0,0.2608695652173913,0.595108695652174
Products – Containers and Packaging – Steel Packaging – Total,2000,2870000.0,1690000.0,230000.0,950000.0,0.5888501742160279,0.3310104529616725
Products – Containers and Packaging—Aluminum Packaging – Total,2000,1950000.0,860000.0,210000.0,880000.0,0.441025641025641,0.4512820512820513
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg -- Subtotal,2000,9730000.0,710000.0,1750000.0,7270000.0,0.07297019527235354,0.7471736896197327
Products – Containers and Packaging – Paper & Paperboard Pkg -- Total,2000,39940000.0,21040000.0,3670000.0,15230000.0,0.5267901852779169,0.3813219829744617
"Products – Containers and Packaging – Plastics Packaging – Bags, Sacks, and Wraps -- Subtotal",2000,4200000.0,180000.0,780000.0,3240000.0,0.04285714285714286,0.7714285714285715
Products – Containers and Packaging – Plastics Packaging -- Total,2000,11190000.0,1030000.0,1960000.0,8200000.0,0.09204647006255585,0.7327971403038427
Products - Containers and Packaging - Total,2000,75840000.0,28870000.0,9110000.0,37860000.0,0.3806698312236287,0.49920886075949367
Products - Wastes - Total,2000,178720000.0,53010000.0,24370000.0,101340000.0,0.29660922112802146,0.5670322291853178
Other Wastes – Total,2000,64730000.0,,9360000.0,38920000.0,,0.6012668005561563
Total MSW Generated – Weight,2000,243450000.0,,,,,
Products – Containers and Packaging – Glass Packaging – Total,2005,10460000.0,2590000.0,1430000.0,6440000.0,0.24760994263862332,0.615678776290631
Products – Containers and Packaging – Steel Packaging – Total,2005,2370000.0,1500000.0,150000.0,720000.0,0.6329113924050633,0.3037974683544304
Products – Containers and Packaging—Aluminum Packaging – Total,2005,1930000.0,690000.0,230000.0,1010000.0,0.35751295336787564,0.5233160621761658
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg -- Subtotal,2005,8710000.0,1510000.0,1310000.0,5890000.0,0.17336394948335246,0.6762342135476463
Products – Containers and Packaging – Paper & Paperboard Pkg -- Total,2005,39640000.0,23610000.0,2920000.0,13110000.0,0.5956104944500504,0.3307265388496468
"Products – Containers and Packaging – Plastics Packaging – Bags, Sacks, and Wraps -- Subtotal",2005,4450000.0,230000.0,770000.0,3450000.0,0.051685393258426963,0.7752808988764045
Products – Containers and Packaging – Plastics Packaging -- Total,2005,12420000.0,1280000.0,2020000.0,9120000.0,0.10305958132045089,0.7342995169082126
Products - Containers and Packaging - Total,2005,76330000.0,31500000.0,8160000.0,36670000.0,0.4126817764967903,0.48041399187737455
